state,year,population
NV,2003,1871520
NV,2004,1919080
NV,2005,1989980
NV,2006,2054320
NV,2007,2053000
NV,2008,2027740
NV,2009,2031060
NV,2010,2037760
NV,2011,2040660
NV,2012,2050380
NV,2013,2210600
NV,2014,2273240
NV,2015,2311460
NV,2016,2369760
NV,2017,2423040
NV,2018,2453800
NY,2003,14657240
NY,2004,14549760
NY,2005,14704160
NY,2006,14681640
NY,2007,14658940
NY,2008,14525080
NY,2009,14440160
NY,2010,14498300
NY,2011,14427640
NY,2012,14379080
NY,2013,15014580
NY,2014,15241620
NY,2015,15390900
NY,2016,15592680
NY,2017,15685260
NY,2018,15762320
OH,2003,9710580
OH,2004,9648380
OH,2005,9741400
OH,2006,9716500
OH,2007,9626900
OH,2008,9428460
OH,2009,9401800
OH,2010,9414660
OH,2011,9358380
OH,2012,9315460
OH,2013,9780980
OH,2014,9827900
OH,2015,9870960
OH,2016,9966480
OH,2017,9981320
OH,2018,9991840
OK,2003,2905560
OK,2004,2900720
OK,2005,2927500
OK,2006,2937340
OK,2007,2893300
OK,2008,2832000
OK,2009,2844020
OK,2010,2862280
OK,2011,2864200
OK,2012,2863240
OK,2013,3048820
OK,2014,3090660
OK,2015,3124020
OK,2016,3170860
OK,2017,3179540
OK,2018,3191740
OR,2003,2987520
OR,2004,3000120
OR,2005,3059380
OR,2006,3084200
OR,2007,3092240
OR,2008,3052340
OR,2009,3061160
OR,2010,3078820
OR,2011,3086720
OR,2012,3094300
OR,2013,3226460
OR,2014,3286800
OR,2015,3344900
OR,2016,3432220
OR,2017,3473820
OR,2018,3502580
PA,2003,10221720
PA,2004,10259480
PA,2005,10382340
PA,2006,10413160
PA,2007,10398160
PA,2008,10235320
PA,2009,10215080
PA,2010,10261100
PA,2011,10222540
PA,2012,10178840
PA,2013,10646360
PA,2014,10732660
PA,2015,10801200
PA,2016,10923600
PA,2017,10973260
PA,2018,10986240
PR,2003,2771260
PR,2004,2848740
PR,2005,2845420
PR,2006,2863040
PR,2007,2826400
PR,2008,2836460
PR,2009,2794620
PR,2010,2776180
PR,2011,2793820
PR,2012,2743080
PR,2013,2775880
PR,2014,2739520
PR,2015,2714580
PR,2016,2679560
PR,2017,2606200
PR,2018,NA
RI,2003,840320
RI,2004,838080
RI,2005,840240
RI,2006,846520
RI,2007,844960
RI,2008,832540
RI,2009,824700
RI,2010,829860
RI,2011,823680
RI,2012,821380
RI,2013,858480
RI,2014,867260
RI,2015,875040
RI,2016,885540
RI,2017,892760
RI,2018,892680
SC,2003,3462520
SC,2004,3514420
SC,2005,3593280
SC,2006,3648980
SC,2007,3628600
SC,2008,3576900
SC,2009,3590440
SC,2010,3632000
SC,2011,3635520
SC,2012,3654060
SC,2013,3877420
SC,2014,3969780
SC,2015,4043740
SC,2016,4129280
SC,2017,4188580
SC,2018,4232900
SD,2003,604240
SD,2004,599580
SD,2005,606000
SD,2006,612960
SD,2007,616120
SD,2008,611380
SD,2009,616360
SD,2010,623600
SD,2011,623180
SD,2012,624440
SD,2013,652200
SD,2014,664040
SD,2015,674560
SD,2016,682800
SD,2017,684560
SD,2018,690560
TN,2003,4792020
TN,2004,4803540
TN,2005,4921340
TN,2006,4999120
TN,2007,4982560
TN,2008,4924420
TN,2009,4924460
TN,2010,4973720
TN,2011,4984120
TN,2012,4988860
TN,2013,5264140
TN,2014,5348180
TN,2015,5432140
TN,2016,5560740
TN,2017,5583100
TN,2018,5641320
TX,2003,17328080
TX,2004,17660360
TX,2005,17951040
TX,2006,18307640
TX,2007,18050580
TX,2008,17741640
TX,2009,17817040
TX,2010,18095620
TX,2011,18195760
TX,2012,18277860
TX,2013,19657520
TX,2014,20114200
TX,2015,20623760
TX,2016,21186820
TX,2017,21449840
TX,2018,21773300
UT,2003,1756240
UT,2004,1783560
UT,2005,1820980
UT,2006,1852860
UT,2007,1865740
UT,2008,1865860
UT,2009,1889480
UT,2010,1922000
UT,2011,1932320
UT,2012,1935680
UT,2013,2058940
UT,2014,2110580
UT,2015,2159080
UT,2016,2212620
UT,2017,2259040
UT,2018,2302840
VA,2003,6122520
VA,2004,6181920
VA,2005,6340560
VA,2006,6347240
VA,2007,6318520
VA,2008,6274480
VA,2009,6292060
VA,2010,6360080
VA,2011,6379100
VA,2012,6383860
VA,2013,6725840
VA,2014,6818000
VA,2015,6899380
VA,2016,6992600
VA,2017,7061280
VA,2018,7095340
VT,2003,485140
VT,2004,490940
VT,2005,498040
VT,2006,500580
VT,2007,500460
VT,2008,495580
VT,2009,495860
VT,2010,500560
VT,2011,500720
VT,2012,499220
VT,2013,517780
VT,2014,524340
VT,2015,527720
VT,2016,533760
VT,2017,536380
VT,2018,538160
WA,2003,5044880
WA,2004,5114300
WA,2005,5226100
WA,2006,5293920
WA,2007,5300560
WA,2008,5271280
WA,2009,5281460
WA,2010,5335860
WA,2011,5362640
WA,2012,5380640
WA,2013,5678440
WA,2014,5800160
WA,2015,5912960
WA,2016,6055140
WA,2017,6157000
WA,2018,6210740
WI,2003,4198660
WI,2004,4256820
WI,2005,4332720
WI,2006,4365220
WI,2007,4357780
WI,2008,4311200
WI,2009,4338040
WI,2010,4371720
WI,2011,4375600
WI,2012,4374200
WI,2013,4613780
WI,2014,4661420
WI,2015,4702400
WI,2016,4757020
WI,2017,4783500
WI,2018,4809460
WV,2003,1550100
WV,2004,1532680
WV,2005,1572120
WV,2006,1557060
WV,2007,1529980
WV,2008,1503780
WV,2009,1495420
WV,2010,1502680
WV,2011,1499040
WV,2012,1487800
WV,2013,1564120
WV,2014,1570260
WV,2015,1569560
WV,2016,1580440
WV,2017,1580620
WV,2018,1569360
WY,2003,409660
WY,2004,408220
WY,2005,415500
WY,2006,418000
WY,2007,420840
WY,2008,420820
WY,2009,424480
WY,2010,428500
WY,2011,429560
WY,2012,429480
WY,2013,448140
WY,2014,454000
WY,2015,459440
WY,2016,463440
WY,2017,464120
WY,2018,464940
